,Date,tweets,User Location,hashtag
123,10/13/2019 23:09,"let make it work again
#donaldtrump2020
#MAGA2020 
#Patriots 
#trump2020
#American 
#USA
@IEzeibe
@realDonaldTrump","Texas City, TX",#MAGA2020
124,10/13/2019 23:09,Trumps on fire 🔥! #MAGA2020 https://t.co/1tZt7L0Cd6,United States,#MAGA2020
125,10/13/2019 23:08,@realDonaldTrump you should hit me up with like a real small loan of a million dollars... thanks a ton!!! #trump… https://t.co/BAMCxgetUc,"Minnesota, USA",#MAGA2020
126,10/13/2019 23:07,"My speech in LA to the American Freedom Alliance. 

I am a member of the NRA. My car sticker says “Guns don’t kill… https://t.co/yBBDisYAJv",,#MAGA2020
127,10/13/2019 23:07,@ryrob97 @DonaldJTrumpJr Very hard. But we won't stop winning.  #MAGA2020,,#MAGA2020
128,10/13/2019 23:04,"""He's not a politician. He's one of us"".

#Retrumplicans
#MAGA2020",Yes,#MAGA2020
129,10/13/2019 23:04,"@kohlweiler These results are embarrassing to retweet. C'mon #Patriots, flip this poll already 🇺🇸🇮🇹🇺🇸. #MAGA2020… https://t.co/lVyizTiJny",USA,#MAGA2020
130,10/13/2019 23:01,Damn Right  WAKE UP AMERICA the gravy train is over for these CORRUPT scumbags and that is exactly what they are .… https://t.co/p9ZFnjHEM3,,#MAGA2020
131,10/13/2019 23:01,Didn’t she just have an affair on her husband? So what does that make her? #pos #cheater #Trump2020LandslideVictory… https://t.co/rO0kCnwD03,"Texas, USA",#MAGA2020
132,10/13/2019 23:00,"@realDonaldTrump Schiff lied about a perfect phone call from a perfect President.
#ImpeachSchiff
#MAGA2020… https://t.co/BEmf8MGtMi",,#MAGA2020
133,10/13/2019 23:00,@StewardshipAmer @realDonaldTrump Thank you for sharing. This is so complicated that certainly there are decades of… https://t.co/Oncems0oca,"Portland, OR",#MAGA2020
134,10/13/2019 23:00,Ok move on... My opinion stands... #toall #MAGA2020,Texas,#MAGA2020
135,10/13/2019 22:59,Yes...yes #maga #maga2020 @GOP @GOPChairwoman @marcorubio @LindseyGrahamSC https://t.co/PbPgU39wMJ,United States,#MAGA2020
136,10/13/2019 22:58,this is really sad! #MAGA2020 https://t.co/WfkAY9vkdF,,#MAGA2020
137,10/13/2019 22:58,I dare the anti-American puppetmasters and their controlled #FakeNews disinfo shills to FACT-CHECK the WINS in LA a… https://t.co/Chltto0UR6,CA frontier ,#MAGA2020
138,10/13/2019 22:58,F off send your sons you 🤡 #MAGA2020 #NoMoreWars https://t.co/av0WlwJFGp,"New York, NY",#MAGA2020
139,10/13/2019 22:58,@realDonaldTrump NO THEY HAVENT! This is from a far right leaning source so magaTs can’t whine about it.  NOTHING H… https://t.co/5dsJW7wGVM,"Scotia, NY",#MAGA2020
140,10/13/2019 22:57,"Remember, CO2 is ESSENTIAL to All life. Vegetation feeds off of CO2 &amp; emits O2. WE emit CO2. Symbiosis of life. Mor… https://t.co/5Rh5OUoSdZ",,#MAGA2020
141,10/13/2019 22:56,@bhabrock12 @IlhanMN Thats rich coming from a anti semite who (allegedly) married her brother in order to commit im… https://t.co/JTedmSfHA0,"Williamsburg, Virginia",#MAGA2020
142,10/13/2019 22:56,#Trump #WW3 #TraitorTrump #NeverForget 9/11 #SaudiArabia #ISIS #Impeachment #StopWW3 #TrumpKills #TrumpCrimeFamily… https://t.co/OiIWFjozV7,"New York, USA",#MAGA2020
143,10/13/2019 22:55,I believe that President @realDonaldTrump is fighting to keep America safe &amp; strong and I want to help him to keep… https://t.co/NxOh5xUDv4,United States,#MAGA2020
144,10/13/2019 22:53,"@BernieSanders In a free market capitalist economy, people are paid what the market will bear. It’s a balancing act… https://t.co/evAY45caNi","Long Island, New York",#MAGA2020
145,10/13/2019 22:53,Do the liberal idiots really think trump supporters believed the lying polls? But liberals you go right ahead becau… https://t.co/kOPfQmvt9K,"Phoenix, AZ",#MAGA2020
146,10/13/2019 22:53,@eyeofthegoddess @postcards4USA @harrisonjaime Another #Trump Self-Inflicted Crisis that @LindseyGrahamSC… https://t.co/vMmsmN9z6L,"San Clemente, CA",#MAGA2020
147,10/13/2019 22:50,"@Kathlee57006424 Appreciate the retweet. Im assuming you are from Baltimore. If not, its all good, we are united by… https://t.co/DbNBQBvs98",Good Samaritan Works Inc.,#MAGA2020
148,10/13/2019 22:48,#Trump #Trump Did this #MAGA #MAGA #MAGA2020 YOU WILL REAP WHAT YOU SOW! https://t.co/CyO8hPVAc1,United States,#MAGA2020
149,10/13/2019 22:47,Attention #Texas #MAGA2020 and #KAG2020 without your support our Candidates don't stand a chance against Soros fund… https://t.co/Sn6vnXPzmU,"El Paso, TX",#MAGA2020
150,10/13/2019 22:46,It’s good to see Hillary so happy to be running in 2020.  It’s going to be fun. @HillaryClinton @ewarren @JoeBiden… https://t.co/H9mP9qLPxS,"North Pole, AK",#MAGA2020
151,10/13/2019 22:46,Solomon Blockbuster: Ukraine Reopened Biden Case Before Trump Phone Call https://t.co/TBGLhJJrEU via @rushlimbaugh #MAGA2020,usa,#MAGA2020
152,10/13/2019 22:45,@LindaFeathers @POTUS @realDonaldTrump @parscale @DonaldJTrumpJr @EricTrump @TrumpWarRoom @som3thingwicked Awesome!… https://t.co/NraCkJcUd0,"Baltimore, MD",#MAGA2020
153,10/13/2019 22:45,@CashCcash9922 @7HBS9 @JeffreyGuterman @realDonaldTrump @JoeBiden Get yourselves some cookies and stick to your pri… https://t.co/NXbZZ23nma,God’s Planet,#MAGA2020
154,10/13/2019 22:45,"@SenSchumer Look who’s talk, a baby boy under Obama’s foreign policy lost on every front auction but now he’s tryin… https://t.co/GgOfokoZAV","California, USA",#MAGA2020
155,10/13/2019 22:45,No matter how hard they try to hinder our ability to communicate through the Trump Train; stay positive and strong.… https://t.co/yZUM2k89U3,Green Bay,#MAGA2020
156,10/13/2019 22:43,"@Scaramucci @MittRomney This cant be real.  Most Republicans are still nauseous about voting for that douche 7 years ago! 🤮  
#MAGA2020 #KAG",Florida,#MAGA2020
157,10/13/2019 22:43,@ViraBurnayeva @NVICLoeDown @NVICLoeDown is CORRECT 100%. Whoever that cannot see the urgency of this matter has to be a zombie. #MAGA2020,,#MAGA2020
158,10/13/2019 22:43,@pawed42 @glamelegance @realDonaldTrump Not really. #MAGA2020,,#MAGA2020
159,10/13/2019 22:42,ICYMI Hollywood union members pass resolution aimed at President Trump https://t.co/WKDqVLNrk3 #election2020… https://t.co/PX5jVCV8I2,USA,#MAGA2020
